date,close,volume,open,high,low
4/22/2019,347.41,525790,350.33,351.47,344.26
4/18/2019,350.88,568001,356.63,359.095,350.25
4/17/2019,354.33,525394,355.08,359.69,353.93
4/16/2019,355.08,682224,354.78,356.8022,349.45
4/15/2019,353.94,678793,346.76,354.67,345.99
4/12/2019,344.83,559528,350.65,351.88,344.27
4/11/2019,350.22,641250,350.88,351.87,348.0025
4/10/2019,350.28,532272,349.76,350.85,345.3825
4/9/2019,348.2,551626,352.36,355.2807,347.3
4/8/2019,354.47,439663,353.56,355.725,351.29
4/5/2019,353.63,590406,351.73,354.18,348.74
4/4/2019,350.14,397187,350.53,352.5005,347.75
4/3/2019,350.53,507664,349.47,354.44,347.63
4/2/2019,347.3,504655,353.37,354.09,346.59
4/1/2019,352.55,568671,351.5,353.775,350.74
3/29/2019,348.73,526465,347.6,350,344.95
3/28/2019,345.23,667016,347.89,351.434,343.3041
3/27/2019,346.05,723461,343.7,348.4,343.34
3/26/2019,342.9,847866,339.62,345.63,337.45
3/25/2019,336.67,811854,330.88,338.25,330.88
3/22/2019,330.52,694690,334.18,336.07,328.6343
3/21/2019,335.13,758975,329.22,336.55,328.829
3/20/2019,330.79,933446,335,337.5,330.51
3/19/2019,334.45,1459836,342.97,343.919,331.32
3/18/2019,342.22,949561,338.6,344.53,336.87
3/15/2019,338.41,3880239,327.97,345.24,327
3/14/2019,312.51,1245872,315.73,315.73,311.61
3/13/2019,315.44,794663,312.05,316.98,311.06
3/12/2019,311.41,779142,310.69,312,304.32
3/11/2019,309.75,895559,308,310.34,306.565
3/8/2019,306.39,863747,302.87,306.99,294
3/7/2019,305.45,877890,312.01,312.2,304.48
3/6/2019,312.51,710962,312.11,313.21,308.98
3/5/2019,312.24,958796,312.98,314.3,310.3
3/4/2019,311.5,828349,316.97,317.78,308.03
3/1/2019,315.3,553082,315.61,318.779,313.82
2/28/2019,312.49,748177,306.02,315.16,304.3
2/27/2019,307.11,640333,307.48,309.47,305.12
2/26/2019,310,506491,308.65,311.02,308.18
2/25/2019,309.05,543413,311.54,313.6299,308.03
2/22/2019,310.72,580744,309.63,310.93,308
2/21/2019,308.02,671530,306.28,309.7,304.115
2/20/2019,306.31,524913,304.63,307.5,303.01
2/19/2019,304.65,1031463,304.1,305.82,299.76
2/15/2019,306.36,565434,307.42,308.525,305.44
2/14/2019,305,1257927,302.68,307.59,300.92
2/13/2019,303.95,621963,304.16,304.83,299.72
2/12/2019,302.5,535147,301.23,305,300.73
2/11/2019,298.1,668138,296.25,302.33,296.25
2/8/2019,296.06,781981,291.58,296.48,289.25
2/7/2019,293.64,457241,291.18,294.57,288.09
2/6/2019,293.45,506325,293.57,295.95,288.05
2/5/2019,294.04,998769,290.5,296.5552,288.68
2/4/2019,289.04,764519,289.76,289.76,282.9
2/1/2019,291.36,519428,292.38,293.39,288.01
1/31/2019,291.92,487858,288.66,294.07,286.04
1/30/2019,288.6,538717,290.28,290.99,286.4
1/29/2019,288.82,516732,290.37,290.4,286.13
1/28/2019,290.28,553317,291,291.5,286.33
1/25/2019,290.72,570693,291.1,293.66,287.63
1/24/2019,287.99,352619,289.61,289.7,286.12
1/23/2019,288.2,627827,289.41,292.0349,286.13
1/22/2019,288.85,846062,288.1,294.44,285.8198
1/18/2019,291.5,990463,286.28,292.22,286.085
1/17/2019,283.9,679658,280.19,284.34,280
1/16/2019,282.01,472234,277.76,282.18,277.505
1/15/2019,278.49,566654,274.97,280.52,273.312
1/14/2019,274.9,928079,282.06,282.93,274.89
1/11/2019,284.11,892063,276.81,284.38,275.87
